tweet,ironic
Algunas personas sufren en las discos mientras tonean y se divierten a mil. #sarcasmo,1
@jacevedoaraya es para sostener el marcador..... #sarcasmo,1
"Alguna de estas imágenes te sacara una sonrisa. 
#Humor #Sarcasmo #ViveFeliz #domingo #Relax #Diversión 
http://t.co/LqmV8iRO6V",1
@_Eurovision2014 en 2013 falta esdm jajajajajajajajajajja top 1 hombre #ironia,1
Hooo que buen padre...#Sarcasmo #GH2015,1
"@JhoynerV  ja ja ja ja ja así o más claro, casi no se me nota😏 #Sarcasmo, gracias!",1
@patronbermudez con todo respeto lo principios de colombia? Entonces llamen a #bolillo espero noten mi #sarcasmo,0
Gran rapidez todo en la UPO y no iban a ser menos en las correcciones de los exámenes #Ironía,1
¿Que humilde es Simeone no? #ironía #llorón #falso,1
¿Alguien se viene a la playa conmigo? #resfriado #pfff #ironia https://t.co/nGvAvPPBHn,1
"Tantos enamorados que no son novios😵💑💔💓
y tantos novios que no estan enamorados😂😲👊💟💔🔫
#ironia↖",0
"Despues de 4 años de desastres políticos, el único cesado por malos resultados en España es Ancelotti #ironia #verdadverdadera",1
@CHENCHA_MUU Por eso lo dije. Pq no hay agua. #Sarcasmo,1
"@RossyFloresR @caacosta1962 antes solo pelucones comprábamos en Miami ahora con los nuevos ricos cualquiera puede compra, q mal!. #sarcasmo",1
"Igual, igual que @Pablo_Iglesias_  
#Ironia  https://t.co/94gAgPFMY4",1
"Dia de mi cumpleaños todos me hablan, dia siguiente no existo...  #sarcasmo gracias facebook",0
Le comentaré receptor ingreso q ya nos avisareis cuando no esté penalizado ingresar € en una cuenta #ironia Salu2! @facua  @santander_resp,1
"Escuchar cantar a esos que tienen audífonos y creen que su voz es igual al cantante, no tiene precio 🙈 #Sarcasmo 😲😱😨 😫 como para llorar 😖",0
“@cspatria: Termina el partido en el Samborondón Arena. @cspatria 30 - Panamá 0.” El arbitro metió la mano en el partido? #sarcasmo jaja,1
"""Que yo estoy enamorao' prusss yo estoy es tragao'"" #sarcasmo",1
Ironías de la vida!! https://t.co/QPfPUJqoFE,1
@victor_gonzalo_ @joanconti i ara Unió si treu algun diputat serà gràcies als mateixos votants!!! #ironia,1
Un sábado de pactos y celebracion #politica por toda #Espana ¿Cuanto va durar? #ironia http://t.co/tkQwkCOTWP,1
Seré la única que piensa en que con todos esos frutos y semillas podrían haber alimentado a cientos de pobres? #Ironía #Paraguay,1
"Le hicieron creer a todos que era la vesícula... Ajá! La gaviota se lo ajusticio...

Orteman 
#Sarcasmo 
#Humor... http://t.co/OZslN0N8uk",1
"@notihoyweb creo que les falta un poquito de iniciativa y originalidad!!!! No sé, es mi apreciación #Sarcasmo",1
"Yo sé, pero te dije que pelearíamos 😁 https://t.co/EOcHJs0DEq",1
#SoyFelizCuando se a donde voy. La #ironia es que solo cuando te pierdes puedes encontrar tu camino. http://t.co/IeWdxs5o4a,1
"Es de idiotas que te enteres que esa persona ya no quiere verte jamás, cuando la que la cagó fue la que no quiere verte jajaja. #Ironía",1
7 mil millones de personas y tu insistes en alguien que no te quiere. #ironia #rt,1
"No se sufre por amor, se sufre por idiota. #Sarcasmo 💁",1
"Decir la frase ""¡TE HE DICHO QUE NO GRITES!""gritando... #Ironía",1
@Rambo_xx3 se acabaría la magia? #Sarcasmo,1
@ccristianrnr tenia que pelear? Jodeme? #Sarcasmo,1
"Un buen psicópata sabe que lastimar a alguien por venganza no está bien…
#Psicópata #Sarcasmo #Venganza #Diversión http://t.co/ddI1ZrPpDn",1
"Me siento tan mal por todos los #PintoLovers con sus camisas de Honduras y cantando el himno. Me romperé el corazón, en serio. #sarcasmo",1
Muy ilusionantes para los Knick's fan... #Ironia https://t.co/jYqtSmP6zb,1
"@marca yo soy CR7 y me voy. El club no estaría estando a su altura, nivel, rendimiento, goles. #Ironía",1
"Mucha charla de ""te vamos a auditar, tenes que cumplir la ley"" pero bien que dejan el auto arriba de la vereda. #Ironia",1
El Osasuna amañando.... no me lo esperaba... #Ironia. A SEGUNDA B!!!,1
@meryone Matrimonio igualitario -&gt; quita derechos a los heteros. Poner la banderita -&gt; los niños pasan hambre. Lógica aplastante #ironía,1
Ni me fio ya de la programcion de @teledeporte.... LUNES pone qudan el Suecia-Nigeria pero 45 min #ironia #WWC2015,1
"@tinaletina no opino lo mismo, sino no te seguiría.... #ironia mi IG te supera.... #maisbeso",1
Hoy el planteamiento estratégico del #FueraBolillo le gana a la falta de idea de #Klinsman #CopaOro2015 #USAvPAN #Sarcasmo,1
"#sarcasmo no es para todos""@FieroValenzuela:@cdmorillo @jhonatanliriano y tmb violar niños...la ed debe ser asumida x  Estado, no x iglesia""",1
@javiermdq supura el plastico. no hay agujero a la vista. una cosa de locos. Si por lo menos fuera con la cara de Jesucristo #sarcasmo,1
Voy a utilizar #Sarcasmo para los de kinder. Gracias.  http://t.co/KNEEeBnLmE,1
"Y de repente aparecen los hinchas de millón replicando el gol, me pregunto porque no cantaron el otro gol #Sarcasmo",1
me regalaron 75mil hectáreas de chocolate ynosergio #sarcasmo,1
"@FIGUECONCE ya, a la proxima le pongo el hashtag #ironia pa q cachi saco'e weas xd",1
@picatostes Sería algo rarísimo porque el Oráculo siempre era muy preciso en las presicciones. #Sarcasmo,1
@FansMLBSpain x eso he puesto #ironia pq estoy harto de oír eso del béisbol,1
"Y esa bandera de Chriquí en el estadio,xd juega Panamá. #Sarcasmo",1
"#Ironía es: Atacar a los directivos de tu equipo, en la sala de prensa del equipo.
http://t.co/iOewkPtXSw http://t.co/MSLIZYKnQo",1
"Ver a un chico musculado de #gimnasio sacar un #cigarrillo. Qué insano, irónico y poco #atractivo a la vez #salud #ironía #nadasexy #BCN",1
Me soprendería ver a Garzon receptivo a la propuesta de Iglesias de disolver IU y que sus militantes se integren en PodemosGuión. #ironía,1
"Haver-se de posar a estudiar FOL després de fer casi una hora de siesta, mola molt. #ironia",1
"8 ventajas de ser una persona sarcástica | Consejos Gratis
http://t.co/xaXkQ41Vd4 #Curiosidades #Sarcasmo #Tips",1
"Me sorprende que nadie haya propuesto la dación en pago, la UE se queda con Grecia y ellos se piran a vivir a Turquía #ironia #grecia",1
Bueno definitivamente sin #sarcasmo y #cinismo no se puede vivir a y sin aire es importante también,1
@PersonSmiling Que avanzada tienes la miniatura no?? #SARCASMO,1
@coronelportero wow. Lo he entendido toooodo. #Sarcasmo no he entendido nada u.u xDD,1
@calbert57 cree que el piojo ya calló bocas con el resultado de ayer?... Jajajaja #sarcasmo,1
"Los que se roban el dinero de la salud ¿será que nunca se enferman?
#sarcasmo",1
"“@Talya: @lasillarota @LeticiaCuesta uf que sorpresa #sarcasmo” //Jajajaajaj así es, solo que ahora el anuncio fue formal",1
"Redbull independentista pq solo tenia este nose pq, y apuntes a porrillo. Bien, yuhu, yipiyei. #sarcasmo #mejordormir http://t.co/25unQRR9cf",0
"@CiudadanosCs puede hacer triplete contra la corrupción si pacta con @ppmadrid, con @psoedeandalucia y en Valencia con @PPopular #ironia",0
"Mientras montaban votos en maquinas, por los que no asistieron a votar y así escoger a los pre establecidos https://t.co/MZNHWAJJfT",1
De nuevo: podríamos negociar al estilo #FIFA con #Colombia; ofrezco una invitación a un cafecito de #CostaRica. Será suficiente 😉? #ironia,1
Siempre lo mimo. El que me gusta no le gusto y al que no me gusta le gusto. #damn #cosasdelavida #ironia,1
Al final a los Nets. Vaya pareja reboteadora q va a formar con Brook Lopez! #ironía #no,1
"Un aplauso por esa gente que dice ""Si no votas, luego no te quejes"" #Ironia y eso que he votado.",1
usa chupin... haceptalo como es... #NoALaDiscriminacion vs #Sarcasmo... jaja..,1
¿Sabéis que en los #PGE2016 han subido 3.560€ el presupuesto del @PatioHerreriano ? de 35.000 a 38.560. WAOW (#ironia),1
@monstruoki #sarcasmo #todoslosniñosyniñassoniguales #yosuspendialgunavezperoanimabaigual #suspendíenjunioysoylicenciada Jajaja yasomos6000?,1
"Me voy a dormir- A tu casa?- no acá al bikeparck 
#Sarcasmo",1
@DIRECTVSports claro! igual que Kaka recuperó el suyo con Mou en el Madrid #ironia #sarcasmo,1
Porque todos trabajamos para que ahi no pierdan los privilegios. #sarcasmo https://t.co/qB3n0S20KL,1
@xGreenPug ahhahahah encerrada siempre en mi habitación he vivido tantas cosas... #ironia,1
ESTOY MUCHO MÁS ÁCIDA DE COSTUMBRE. WUUU #Sarcasmo,0
Se va el topo!! Jajaja #ikercasillas #ironia,1
"Los Morancos es lo que necesitaba TVE para remontar sus datos de audiencia. Frescura, modernidad e innovación. #JugamosEnCasa #Ironía",1
"Todos los q estan involucrando a ""bolsillón"" martinelli son unos ""mentirosos patológicos"" o ""resentidos políticos"". #sarcasmo 
@JCTapiaLMB",1
"Nos ve la cara de cojudos con 2 proyectos de ley de ""urgencia económica"" y nos clava con el dinero electrónico. Q ""shabido"" es!! #sarcasmo",1
"Niñas diciendo sean cursis y detallistas así nos gusta.
Pero se mojan cuando en "" 50 sombras de Grey"" dicen: 'YO COJO, Y COJO DURO' #ironía",1
"@MarianoPlanells totalmente de acuerdo
Quatar una mierda,que vaya su tía
#humor
#ironia",1
Hay un dicho que dice algo así como:Nadie sabe lo que tiene hasta que lo pierde. Es así? #Ironía,1
Tienes derecho a protestar pero en tu casa y que no te escuche nadie. #Ironia,1
"Pones a pitar a un turco la final en Berlín, la #ironia en #UCLfinal",1
Te dice que te ama que daría la vida por vos pero sigue agregando minas en bolas o con poca ropa en face #Ironia #EstaMuyMal,1
Los de Demòcrates de Catalunya y @PPopular se han roto mucho la cabeza con su #Logo. No se parece nada al de The Democrats de EEUU. #Ironia,1
Seguro el pobre vende arepas en Las Pulgas... #sarcasmo https://t.co/6KyJD6SFKx,1
"@JuanManSantos Sr Tumaco y Buenaventura sin luz, me encanta su proceso de paz. #Sarcasmo ¿ Donde pretende llevarnos ?",1
"#ArturoVidal Un ""Deportista"" que se toma SU TRABAJO muy en serio #Sarcasmo. Es un mortal más, se debe aplicar todo como tal.",1
ERES BIEN HERMOSA SALUDOS TE GUSTARIA SALIR CONMIGO https://t.co/Q3MJEkPpDT,1
